fare_id,route_id
efectivo,1
passvigo_general,1
efectivo,6
passvigo_general,6
efectivo,7
passvigo_general,7
efectivo,8
passvigo_general,8
efectivo,10
passvigo_general,10
efectivo,11
passvigo_general,11
efectivo,13
passvigo_general,13
efectivo,14
passvigo_general,14
efectivo,16
passvigo_general,16
efectivo,17
passvigo_general,17
efectivo,18
passvigo_general,18
efectivo,23
passvigo_general,23
efectivo,24
passvigo_general,24
efectivo,25
passvigo_general,25
efectivo,27
passvigo_general,27
efectivo,28
passvigo_general,28
efectivo,29
passvigo_general,29
efectivo,30
passvigo_general,30
efectivo,31
passvigo_general,31
efectivo,101
passvigo_general,101
efectivo,102
passvigo_general,102
efectivo,104
passvigo_general,104
efectivo,105
passvigo_general,105
efectivo,201
passvigo_general,201
efectivo,202
passvigo_general,202
efectivo,301
passvigo_general,301
efectivo,304
passvigo_general,304
efectivo,306
passvigo_general,306
efectivo,500
passvigo_general,500
efectivo,751
passvigo_general,751
efectivo,1101
passvigo_general,1101
efectivo,1201
passvigo_general,1201
efectivo,1202
passvigo_general,1202
efectivo,1501
passvigo_general,1501
efectivo,1502
passvigo_general,1502
efectivo,1504
passvigo_general,1504
efectivo,1506
passvigo_general,1506
efectivo,1507
passvigo_general,1507
efectivo,1801
passvigo_general,1801
efectivo,1802
passvigo_general,1802
efectivo,2012
passvigo_general,2012
efectivo,3001
passvigo_general,3001
efectivo,3002
passvigo_general,3002
efectivo,3305
passvigo_general,3305
efectivo,4001
passvigo_general,4001
efectivo,4003
passvigo_general,4003
efectivo,4004
passvigo_general,4004
efectivo,4005
passvigo_general,4005
efectivo,4006
passvigo_general,4006
efectivo,5001
passvigo_general,5001
efectivo,5004
passvigo_general,5004
efectivo,5011
passvigo_general,5011
efectivo,5044
passvigo_general,5044
efectivo,6001
passvigo_general,6001
efectivo,8001
passvigo_general,8001
efectivo,9002
passvigo_general,9002
efectivo,9003
passvigo_general,9003
